Disease-1,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,ID,Disease
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,16,Fungal infection
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,16,Fungal infection
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,16,Fungal infection
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,5,Allergy
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,5,Allergy
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,5,Allergy
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,5,Allergy
